#       z               d_L (Gpc)      Error (Gpc)
       0.010            0.0390         0.0026
       0.012            0.0597         0.0046 
       0.014            0.0587         0.0021 
       0.016            0.0666         0.0022 
       0.019            0.0829         0.0033 
       0.023            0.0972         0.0025 
       0.026            0.1123         0.0032 
       0.031            0.1412         0.0037 
       0.037            0.1637         0.0043 
       0.043            0.1936         0.0067 
       0.051            0.2139         0.0092 
       0.060            0.2701         0.0077 
       0.070            0.3062         0.0093 
       0.082            0.3902         0.0098 
       0.097            0.4473         0.0123 
       0.114            0.5279         0.0091 
       0.134            0.6510         0.0116 
       0.158            0.7384         0.0118 
       0.186            0.9087         0.0134 
       0.218            1.0747         0.0163 
       0.257            1.2971         0.0189 
       0.302            1.5172         0.0274 
       0.355            1.9243         0.0297 
       0.418            2.2813         0.0436 
       0.491            2.7943         0.0507 
       0.578            3.3373         0.0552 
       0.679            4.0789         0.1179 
       0.799            5.0213         0.1262 
       0.940            6.2302         0.1917 
       1.105            7.9947         0.5692 
       1.300            9.2121         0.5874 
